Company Name,Job Title,Description,Location,Salary,Required Skills
Paypal,Senior Software Engineer,"Primary Job Responsibilities

* Perform high quality software analysis, design, development, testing and maintenance for the clients core technology platform

* Work with Product owners, Architects and X-Vertical teams to analyze requirements.

* Implement the features based on the design.

* Follow good development practices.

* Product deployment and support.

* Mentor junior developers.

Job Requirements

* Excellent analytical skills and problem solving skills.

* Expert in JEE/ Java programming.

* Competent in design/implementation for reliability, availability, scalability and performance

* Competent in software engineering tools and best practices

* Conversant in web front-end technologies - HTML5/CSS/JavaScript



Object-oriented Design and Analysis (OOA and OOD)

* Estimate engineering effort; plan implementation, and rollout system changes.

* Exhibit creativity and resourcefulness at problem solving while collaborating and working effectively with best in class designers, engineers of different technical backgrounds, architects and product managers.

* Expert in data structures and algorithms.

* Aware of Agile methodology of Software Development Life Cycle.

* Should be a self-starter and a good team player.

* Great communication skills both verbal and written to ensure effective communication across product teams, functions and locations.

* Can make decisions without always asking others what has to be done.

* Ability to mentor junior developers.

* Experience working with remote teams.

* Flexible to work on any technology as per project demand.

Basic Qualifications

* B.E / B.Tech in computer science or M.Tech .

* 5+ years of experience
",Bangalore,"₹ 12,59,076","Java,JavaScript,Analysis,OOD,HTML5,Software,CSS,Agile"
Paypal,"MTS 1, Software Engineer","Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPals 210 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.

The consumer organization at PayPal focuses on new products and capabilities offered to the consumer segment of PayPal users. This organization is responsible for all the experiences and services offered to buyers and casual sellers. Some of the areas of focus are P2P payments, Incentives, login dashboard, shopping experience and consumer utilities like contact book and device management.

PayPal is a well-known player in the payments ecosystem; one of the next big goal for PayPal is to tap into the pre and post transaction experience to provide a fantastic and engaging user experience for customers starting from purchase intent, pay and post transaction experience of order tracking etc. PayPal has invested $4 billion to acquire Honey to participate in a journey to revolutionize the shopping experience of PayPal customers. The goal is to create an experience for PayPal consumers and merchants a stellar shopping journey when they interface with PayPal. The goal set by business are quite ambitious, but doable with years of experience in the adjacent space of Payments. This would require a foundational redesign of the pre and post transaction experience in PayPal. The goals are,

Save consumers money when there is intent to purchase. Provide a cohesive user experience that will please the consumer during the purchase process and beyond. Provide a rich set of tooling to merchants to enable them to engage their customer in a value driven model where both the merchant and consumers benefit from the product.

Job Description:

This position is for a critical product in the PayPal shopping journey. The requirement is for a senior engineer in the Offers engineering team. PayPals inhouse Offers platform is a powerful tool in the shopping ecosystem for a PayPal consumer to have exclusive deals in PayPal and for Merchant to create the exclusive deals. This platform should support the constructs of an offer that can represent a SKU based applicability and also a deep integration with the PayPals payments engine to manage the movement of funds between the transaction and the offers funding infrastructure. Offers engineering team is responsible for the end to end offers experience in PayPal like Offer representation in the notification like email, notifications etc. Landing pages where a user will be able to find the details, experience during transaction and post transactions like transaction history/details. Person working in this team will be exposed to complex problem in terms of architecture and scale.

We believe in lean teams delivering a lot of value, so you will be part of a lean team potentially driving impact for the shopping hub in the PayPals Android application. You will be exposed to complex technology problems and will be exposed to technology like Android client, GraphQL, High throughput no SQL stores, Cloud based services, exposure to other client tech stack as part of the development process.

This also enables us to quickly iterate and do frequent brainstorming sessions welcoming new ideas and diverse perspectives to conceptualize new features. We quickly run A/B test experiments to make product decisions. One of the core values of our team is to learn from each other irrespective of what level youre at. We believe in One Team Behaviors and Innovation, Collaboration, Inclusion and Wellness are major pillars for our success.

Job Description:

The primary role of the Staff Software Engineer is to provide technical and domain expertise in the design and delivery of software and infrastructure for PayPal's web site. This person is a highly experienced technical expert, who understands the e-commerce domain very well, and is well versed in the software implementation.

Beyond this, the successful candidate is expected to be multi-disciplinary, and is a multi-talented senior member of the technical team. The duties performed by the Staff Engineer vary, and may span technical design and consultancy, troubleshooting, performance analysis, process improvement, and technology development, etc. The Staff Engineer has a stewardship role in ensuring the continued growth and improvement of the environment, capabilities and stature of the group. The individual is expected to be a self-starter and a team player, with a strong drive for results and continuous innovations. The individual should be able to deliver work with minimal supervision.

Responsibilities:

1. Must be able to work independently as well as in a team to define, design, implement, test, release rollout and support complex software applications for PayPal.

2. Work with business units to crystallize business needs into product features, acting as a bridge between business and technical domains.

3. Consult with business units on feasibility, technical requirements and cost estimates for new initiatives.

4. Work with engineering managers, engineers & QA to develop innovative solutions that meet market needs w.r.t functionality, performance, reliability, realistic implementations schedules and adherence to development goals and principles.

5. Provide technical guidance and assistance to other software engineers.

6. Provide technical and domain thought-leadership and mentoring to junior members of the team.

7. Review and approve software design and implemented code.

8. Identify areas of technical improvement and make detailed business cases for improvements or new areas of opportunities.

9. Develop new team capabilities to ensure continued competence and relevance in supporting software development needs of PayPal's business.

10. Define and devise processes, tools and methodologies to achieve excellence in software development, testing and deployment.

Job Requirements:

BS in Computer Science or Engineering and 8+ years related industry experience Highly competent hands-on experience in some of the following:Enterprise architecture/software design/implementation, particularly large-scale web-based systems. (J2EE)Java programming in Linux/Unix environmentOO-based analysis and designUML and design patternsSOA / Web ServicesMVC frameworks such as Spring/Spring bootSoftware design and development methodologies, including Agile methodsSource Control (GIT experience is an advantage)Unit testing frameworks such as JUnit, Google TestDatabase design (SQL & No-SQL) and optimization. (Oracle/MySQL)Scripting Languages (Shell, Python, Perl) would be a plusJBoss, OSGi, Jenkins/Hudson, Maven/Ant, RESTs experiences would be a plusHighly analytical, innovative, and able to think strategically and to develop comprehensive detailed specifications.Ability to determine impact of architectural solutions and recommendations.Must have experience in justification of technology solutions to business leaders.Excellent verbal and writing skills; ability to produce clear, concise communications and documentation.Highly effective at working in cross-functional groups and getting results in matrix organizations.Excellent time management skills and ability to work on concurrent assignments with different prioritiesWorking knowledge in the shopping/e-commerce industry is an added advantage.
",Bangalore,"₹ 12,59,076","OSGi,JUnit,SQL,Computer,Spring,Oracle,Innovation,Android,Linux,Jenkins,P2P,Unix,Software,Payments,Python,Enterprise architecture,Cloud,Hudson,Agile,QA,Perl,Shell,Collaboration"
"CGI Group, Inc.",Senior Software Engineer - Python Developer,"Position Description

Works independently under limited supervision and applies knowledge of subject matter in Applications Development. Possess sufficient knowledge and skills to effectively deal with issues, challenges within field of specialization to develop simple applications solutions. Second level professional with direct impact on results and outcome

Your future duties and responsibilities

Should be able to work on development activities related to Python Web development(Django and Flask).

Knowledge of RDBMS and SQLPL-SQL, writing queries, stored procedures and scripts Familiarity with Linux commands is required.

Knowledge of Perl is optional. Python Python Core Django Flask Python Libraries File operations in Python MVC Framework Version Control Linux command Command Line Argument

Good experience of working in fast paced environment for project end to end implementation Build or Enhance features in respect to the stories with defensible coding strategies. Delivery with best quality.

Collaborate effectively with technical and non-technical stakeholders

Excellent Analytical and communication skills are essential, with strong verbal and writing proficiencies.

Ability to lead test efforts, motivate and mentor staff. Work in the Agile environment and adhere to all best practices.

Follows Agile best practices and adheres to the Scrum framework Active co-operation collaboration with the teams at various geographic locations Analyze stories that have been written by Product Owner and perform an estimation of the complexity Focuses on continuous improvement Communicates risks to upper management and peers

Required qualifications to be successful in this role

Primary Skill: Python Developer

Secondary Skill: SQL, DW

Experience: 4-6 Years

Skills

XML

Python

Teradata

Unix

Shell Script

GIT

GIT

Jenkins

What you can expect from us

Build your career with us.

It is an extraordinary time to be in business. As digital transformation continues to accelerate, CGI is at the center of this changesupporting our clients' digital journeys and offering our professionals exciting career opportunities.

At CGI, our success comes from the talent and commitment of our professionals. As one team, we share the challenges and rewards that come from growing our company, which reinforces our culture of ownership. All of our professionals benefit from the value we collectively create.

Be part of building one of the largest independent technology and business services firms in the world.

Learn more about CGI at www.cgi.com.

No unsolicited agency referrals please.",Hyderābād,"₹ 5,47,290","CGI,RDBMS,SQL,Framework,Linux,Analytical,Jenkins,Unix,Python,Django,MVC Framework,Flask,Scrum,MVC,Agile,Perl,Shell,XML,Teradata"
Socité Générale,Software Engineer- Python Developer,"Responsibilities

Design, build, and maintain efficient, reusable, and reliable Python code

Implement performance and quality modules

Identify bottlenecks and bugs, and devise solutions to these problems

Help maintain code quality, organization, and automatization

Profile Required

Strong understanding and knowledge of Python, with special emphasis on data structures and DataFrame operations.

Strong understanding of UNIX based OS (any) and shell scripting.

Strong knowledge of data analytics and visualization fundamentals

Good understanding of microservices and APIs

Ability to write efficient code to handle large data volumes

Good ability to work with SQL and RDBMS based databases.

Comfortable with VCS like GitHub

Why Join Us

We are committed to creating a diverse environment and are proud to be an equal opportunity employer. All qualified applicants receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.

Business Insight

Societe Generale Global Solution Centre (SG GSC), a 100% owned subsidiary of European banking major Societe Generale (SG), Our role and purpose is to enable the strategic vision of Societe Generale Group. We are doing this by pioneering cutting edge innovation from Design Thinking to Smart Automation & Artificial Intelligence, and applying it to banking.

SG Global Solution Centre provides services in the areas of Application Development and Maintenance, Infrastructure Management, Business Process Management, and Knowledge Process Management, to Societe Generale's business lines around the world.

We are an equal opportunities employer and we are proud to make diversity a strength for our company. Societe Generale is committed to recognizing and promoting all talents, regardless of their beliefs, age, disability, parental status, ethnic origin, nationality, sexual or gender identity, sexual orientation, membership of a political, religious, trade union or minority organisation, or any other characteristic that could be subject to discrimination.

Job code: 20000GH0

Business unit: SG Global Solution Centre

Starting date: Immediate

Date of publication: 04/09/2020",Bangalore,"₹ 6,17,997","Management,Intelligence,RDBMS,Automation,SQL,Infrastructure,VCS,GitHub,Python"
Siemens Healthineers,Back End Software Developer,"Looking for New opportunities in Large Drives Applications business of Siemens Ltd.? We have got you covered. We are looking for individuals like you who will help us change the face of Large Drives Applications for our Portfolio Companies!Educational Qualification(s):Bachelor's degree in Computer Science, Information Technology or Automation TechnologyYears of relevant experience required:Minimum 5 plus years of hands on experience in this role's domain

Should have hands on experience in Agile MethodologyHiring Location: Mumbai-Kharghar Mode of Employment: Siemens Direct Contract Who are we?“Digital Business"" is a young and innovative business for the drive system portfolio of Large Drive Applications. In center is the acquisition and use of drive system data from the field as well as corresponding virtual data and data models from R&D and engineering.

With the new innovative brand SIDRIVE IQ the Large Drive Applications Digital Business-team works on the future of drive systems today. For more information on SIDRIVE IQ refer to: www.siemens.com/sidrive-iqRole & Responsibilities:


Designing, implementation and testing of software functionality for Sidrive iqYou are in the center of an exciting field of IoT-data services, scalable cloud architectures and big data approaches in an industrial domain Conceptional design, realization and test of functional scope of back-end services Contribute actively in knowledge transfer within and beyond the SCRUM- team


Desired Skills and Experience


Solid knowledge and capabilities programming languages (e.g. JavaScript, XML, SQL, C#, Python) and testing (e.g. unit tests, REST API tests) Experience and competence in use of cloud-based technologies, frameworks and applications (e.g. AWS, Redis, PostgreSQL, .Net core) Familiarity with software development standards and frameworks and have already built a track of first experiences in software architecture design/operation (e.g. microservice-based architectures) General understanding of industrial automation technology is helpful Excellent command of English Customer orientation, communication skills and team spirit as well as flexibility Experience in usage of relevant development and CD/CI-tools (e.g. JIRA, Git Hub, Xray)


Headline call to actionWe would be happy to welcome you to our Siemens Family, please feel free to apply on the website. If shortlisted, we will be calling you for next steps soon.

You will be performing this from Mumbai location, where you’ll get the chance to work with teams impacting entire cities, countries – and the shape of things to come.

We’re Siemens. A collection of over 377,000 minds building the future, one day at a time in over 200 countries. We're dedicated to equality and we welcome applications that reflect the diversity of the communities we work in. All employment decisions at Siemens are based on qualifications, merit and business need. Bring your curiosity and creativity and help us shape tomorrow!
Organization: Portfolio Companies

Company: Siemens Limited

Experience Level: Experienced Professional

Job Type: Full-time",Mumbai,"₹ 7,81,479","JavaScript,Siemens,API,Git,Automation,SQL,Computer,IQ,C,XML,Redis,C#,JIRA,Technology,PostgreSQL,Python,Agile"
Paypal,"Director, Software Engineering","We are seeking a passionate technologist, hands-on, detail oriented Engineering Director to lead product & platform development, deliver business insights and intuitive customer experiences, drive higher performance & resiliency with a strong product and data driven mindset. The ideal candidate should have demonstrated engineering leadership through delivery of significant business outcomes on large scale products using state of the art technology & tools and established engineering processes that drive higher productivity for PP developers and external developer community.

The candidate should possess the technical expertise to lead software and architecture discussions and guide cross-functional product/user experience and engineering teams through functional definition, solution, and integration stages on a large scale.

Come join our team if youre an individual whos a fast, innovative thinker with the ability to quickly recognise opportunities and apply your exceptional technical knowledge to deliver outstanding outcomes and align to PayPal culture.

Roles & Responsibility:

· Ability to lead complex discussions and engagements that may involve multiple project teams within PayPal and partner firms.

· Work with technical product leads to design and deliver solutions for our customers (merchants & consumers).

· Provide strategic guidance and direction to development teams.

· Manage stakeholder planning and communications for key initiatives.

· Be a technical subject matter expert and represent the full internal and external capabilities of the platform.

· Identify market gaps, client requirements or issues and collaborate with product , user experience and technology teams to define detailed plan and execute it with agility

· Ensure engineering team implements optimal integration strategies, techniques and user experience best practices along with great documentation or developer community

· Capture and communicate experiences in formal post-mortem, sharing lessons learned, best practices and resources back into the engineering team.

· Hire and develop a high performing & accountable culture and team. Engage developers to listen into different forums to understand client behaviours & needs and provide innovative solutions.

Required Skills:

· 15+ years experience building large scalable technology products & platforms

· Extensive experience in product, user experience, architecture, design and implementation of innovative, engaging, top quality, insight driven solutions for customers in collaboration with different teams within the organisation.

· Expertise in designing for reliability, availability, scalability and performance in highly regulated Financial Services industry preferred.

· Ability to go to market fast, manage dependencies & risks, create agile processes and make intelligent tradeoff decisions should be proven capabilities

· Financial reconciliation and reporting

· Experience managing large teams in both matrix and direct report structures. Experience in leading cross functional teams will be preferred.",Bangalore,"₹ 12,59,076",
UnitedHealth Group,Senior Software Engineer I,"Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that's improving the lives of millions. Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably. There's no room for error. Join us and start doing your life's best work.(sm)Primary Responsibilities:Understand the requirements for the entire project (not just own features)Work closely with PMG during the design phase to drill down into detailed nuances of the requirementsQuestion the motivation behind certain requirements and work with PMG to refine themDesign internal frameworks and abstractionsArticulate and evaluate pros/cons of design alternativesGenerate cost estimates for a designBuild internal frameworksKnow and bring in external frameworksConsistently avoid coding pitfallsSolve cross-functional problemsIdentify impacts/side effects outside of immediate scope of workIdentify cross-module issuesBe able to predictively identify problems Work on multiple projects simultaneously and context switching between themEnforce process StandardsAct independently to determine methods and procedures on new or special assignmentsPrioritize large tasks and projectsRelease Planning: work with the PO and be able to do high level release commitment and estimationWork with PO on defining stories of appropriate sizeDrive the team to have a high level of accomplishment on the committed stories for each IterationShow Agile leadership qualities and leads by exampleWork with development teams and identifying the right division of technical responsibility based on skill setsWork with external teams (e.g. Support, PO, etc.) that have significantly different technical skill sets and manage the discussions based on their needsCreate innovative solutions that may include changes to requirements to create a better solutionThink outside-the-box to view the system as it should be rather than only how it isProactively generate a continual stream of ideas and pushes to review and advance ideas if they make senseTake initiative to learn how technology is evolving outside Optum, part of the UnitedHealth Group family of businessesTake initiative to learn how the system can be improved for the customersMake problems open new doors for innovationsCommunicate complex concepts internally with breezeBe able to disagree without being disagreeableUse conflict as way to drill deeper and arrive at better decisionsFrequent mentorshipBuild ad-hoc cross-department teams for specific projects or problemsAchieve broad scope 'buy in' across project teams and across departmentsBe able to take Calculated Risks",Hyderābād,"₹ 7,74,449","Planning,Agile,PO"
Reliable Resource,Software Developer,"1+ years of working experience required in PHP with any framework Symfony,Laravel or YII,Zend, codeigniter



Strong understanding of Technical relevant Concepts
Logical thinking
Willing to learn new technologies
Effective Communication and interpersonal skills
Strong analytical and problem solving skills
Good knowledge of Javascript/ JSON/AJAX
Basic knowledge of any JS framework.
Work in a team with minimal supervision
Good understanding on DBMS and relational databases.


Job Type: Full-time

Salary: 10,000.00 - 25,000.00 per month

Experience:

software development: 1 year (Required)
total work: 1 year (Required)

Education:

Bachelor's (Required)

Work Remotely:

No
",Dewās,"₹ 7,00,000","Symfony,PHP,JSON,Communication,Zend,Laravel"
Amdocs,Software Engineer,"Primary Skill : [[reqPrimarySkill]]

Secondary Skill : [[reqSecondarySkill]]

Other Skills : [[reqOtherSkills]]

Organizational Level 1 : Amdocs Media Network & Technology

Organizational Level 2 : Amdocs Media

Manager : Piyush Agrawal [Vindicia]

Talent Acquisition: [[recruiterName]]

Required Travel : Minimal 

Open to Relocation : Relocation - No

Referral Bonus Reward Amount* : ₹25,000.00

* In case this job is open for Amdocs employees only ""Refer Friend to Job"" option is disabled
Who are we?
At Amdocs, our purpose is to enrich lives and progress society. With our creativity and technology, we help make a better connected world. Amdocs and its 25,000 employees serve the leading players in the communications and media industry, enabling next-generation experiences in 85 countries. Our cloud-native, open and dynamic portfolio of digital solutions, platforms and services brings greater choice, faster time to market and flexibility, to better meet the evolving needs of our customers as they drive growth, transform and take their business to the cloud. Listed on the NASDAQ Global Select Market, Amdocs had revenue of $4.1 billion in fiscal 2019. For more information, visit Amdocs at http://www.amdocs.com
In one sentence
Responsible for design, develop, modify, debug and/or maintain software systems.

Responsible for one or more specific modules within a large software system scope
What will your job look like?


You will design, develop, modify, debug and/or maintain software code according to functional, non-functional and technical design specifications.
You will follow Amdocs software engineering standards, applicable software development methodology and release processes, to ensure code is maintainable, scalable , supportable and demo the software products to stakeholders
You will investigate issues by reviewing/debugging code, provides fixes and workarounds, and reviews changes for operability to maintain existing software solutions.
You will work within a team, collaborate and add value through participation in peer code reviews, provide comments and suggestions, work with cross functional teams to achieve goals.
You will assume technical accountability for your specific work products within an application and provide technical support during solution design for new requirements.
You will be encourage to actively look for innovation and continuous improvement, efficiency in all assigned tasks.


All you need is...
Work experience 2 to 4 years Perl experience (server side) on Linux/Unix

Extensive Experience of SOAP and RESTFUL Architecture.

Experience on Perl Mojolicious Plugins.

Experience on Perl debugger, POSTMAN API testing tool

Working Experience on CI/CD and source control tool GitHub.

Hands on Experience for Python different API used for Web development (Django).

Good working knowledge of DB queries, Postgress will be a plus.

Extensive knowledge of source code management, test automation and disciplined quality driven application development.

Excellent problem solving and multi-tasking skills, with a creative and flexible attitude.

Experience on Perl test suite

Working Experience on Unix/Linux Shell Scripting.

Experience on Python Cloud Development On AWS

Streaming data pipeline experience- Python Data Analytics.

Experience with open source packages and tools.

Knowledge of cloud (AWS), technologies and operations with Docker/Kubernetes
Why you will love this job:


You will be challenged with design and develop new software applications
You will have the opportunity to work in a growing organization, with ever growing opportunities for personal growth
You will have the opportunity to work with the industry most advanced technologies



Amdocs is an equal opportunity employer. We welcome applicants from all backgrounds and are committed to fostering a diverse and inclusive workforce",Pune,"₹ 6,64,103","API,Analytics,Linux,POSTMAN,Unix,Amdocs,Python,Web development,Organizational,Cloud,Django,SOAP,GitHub,Streaming,Acquisition,Perl,Architecture,Shell,Scripting,Technology"
Siemens Healthineers,Senior Software Developer,"Senior Software Developer-Pega

Are you looking at developing future

leaders? Come join us at Siemens.

As a catalyst to the Pega Nearshore

Consulting team, you will work closely with Customer and Pega Architects to

develop high quality work across all phases (inception through user acceptance

testing) that allow our customers to improve the way they handle their business.

Pega is changing the way the world builds software. In this role, you’ll help

us craft, develop, implement and test the next generation of Pega products.

This is your chance to get your hands-on leading customer and learning

technology that resolves people care deeply about.

Change

the future with us

Should Review the work of junior team members and

 ensure it meets the required standards
You Drive new business growth and customer success by

 providing business expertise!
Should Act as a Module Lead to the existing &

 upcoming project
Should be Collaborate and team with clients, partners,

 and Pega team on client sites and remotely; continuously focus on Customer

 Success
You are the Partner with both the client and the

 business team to develop high quality work across all phases of a project,

 from participating in the requirements, design and build phases,

 delivering high-quality deliverables, through to user acceptance testing.
Demonstrate your dedication to and passion for customer

 success by ensuring that the delivered product is fully-functioning,

 performs to business requirements defined and approved by the client, and

 meets or exceeds expectations!

We

don’t need superheroes, just super minds

You have 5+ years of Pega development experience
You are Pega CSSA certified individual
You have experience working on Pega 7.x/ 8.x and

 working on flows, flow actions, activity, data transforms, declare rules,

 data pages, validations, decision rules, functions, report definitions,

 basic UI components
Should be expertise with the Agile delivery methodology
You have seen multiple projects through from project

 kick-off to go-live

We’ve got quite a lot to offer. How

about you?

This role is based in Bangalore. But

you’ll also get to visit other locations in India and globe, so you’ll need to

go where this journey takes you. In return, you’ll get the chance to work with

teams impacting entire cities, countries and the shape of things to come. We're

Siemens. A collection of over 379,000 minds building the future, one day at a

time in over 200 countries. We're dedicated to equality, and we encourage

applications that reflect the diversity of the communities we work in. All

employment decisions at Siemens are based on qualifications, merit and business

need. Bring your curiosity and creativity and help us craft tomorrow.

Find

out more about Siemens at: www.siemens.com/careers
Organization: Global Business Services

Company: Siemens Technology and Services Private Limited

Experience Level: Experienced Professional

Job Type: Full-time",Bangalore,"₹ 7,81,479","Pega,Siemens,UI,Technology,Software,Consulting,Agile"
Trimble,Software Developer,"Job Purpose

As a Software Engineer, you will be working with a strong team of motivated engineers with focus on building and delivering next generation web applications.

You will interact with product owners and convert their ideas into software solutions.

You will collaborate with global engineering teams and cross-functional teams to deliver high quality software solutions.

This position requires strong knowledge in design and development of web user interfaces and interactive web applications.

You should have experience with agile methodologies, working experience building scalable and robust user interfaces. Experience in React.js is a must.

Main Responsibilities

Ø 2-3 years of professional experience in frontend, web application development

Ø Bachelor's degree in Engineering (Preferably in Computer Science)

Ø Experience developing rich web applications and writing cross-browser compatible code with strong proficiency in HTML, JavaScript and CSS

Ø Experience with Responsive web design and CSS frameworks like Bootstrap etc.

Ø Experience with CSS pre-processors (LESS, SASS)

Ø Strong expertise in developing application using React.js and Node.js

Ø Working experience with state/data management libraries like Redux, MobX, etc.

Ø Familiarity with newer specifications of ECMAScript

Ø Knowledge of testing frameworks like Jasmine, Jest, etc.

Ø Familiarity with debugging tools

Ø Experience with common front-end development tools such as Babel, NPM, Yarn, Gulp, Webpack, Parcel.js, etc.

Ø Familiarity with usability and accessibility best practices

Ø Strong experience working with Restful APIs

Ø Knowledge in Continuous Integrations/Continuous Deployment and tools & Infrastructure such as Jenkins, JIRA, VSTS etc.

Ø Familiar with source control management using Git and Bitbucket

Key Result Area

Ø Timely delivery of all work products that meet or exceed quality norms.

Ø High and Low level designs.

Ø Coverage of test cases and test runs

Ø Work breakdown at the module level.

Ø Good analytical and problem solving skills.

Ø Excellent communication and interpersonal skills.

Ø Upbeat, highly motivated and self-starter.

Trimble Inc. is proud to be an Equal Opportunity and Affirmative Action Employer and considers qualified applicants for employment without regard to race, gender, age, color, religion, national origin, marital status, disability, sexual orientation, status as a covered veteran in accordance with applicable federal, state and local laws, or any other protected factor. EOE/M/F/V/D",Chennai,"₹ 7,25,000","JavaScript,LESS,Jenkins,Jasmine,Git,Bitbucket,Computer,Infrastructure,JIRA,Node.js,VSTS,HTML,Software,Bootstrap,CSS"
Amdocs,Software Engineer - UI,"Primary Skill : [[reqPrimarySkill]]

Secondary Skill : [[reqSecondarySkill]]

Other Skills : [[reqOtherSkills]]

Organizational Level 1 : Amdocs Media Network & Technology

Organizational Level 2 : Amdocs Technology

Manager : Dhaval Raj

Talent Acquisition: [[recruiterName]]

Required Travel : Minimal 

Open to Relocation : Relocation - No

Referral Bonus Reward Amount* : ₹25,000.00

* In case this job is open for Amdocs employees only ""Refer Friend to Job"" option is disabled
Who are we?
At Amdocs, our purpose is to enrich lives and progress society. With our creativity and technology, we help make a better connected world. Amdocs and its 25,000 employees serve the leading players in the communications and media industry, enabling next-generation experiences in 85 countries. Our cloud-native, open and dynamic portfolio of digital solutions, platforms and services brings greater choice, faster time to market and flexibility, to better meet the evolving needs of our customers as they drive growth, transform and take their business to the cloud. Listed on the NASDAQ Global Select Market, Amdocs had revenue of $4.1 billion in fiscal 2019. For more information, visit Amdocs at http://www.amdocs.com
In one sentence
Responsible for design, develop, modify, debug and/or maintain software systems.

Responsible for one or more specific modules within a large software system scope
What will your job look like?


You will design, develop, modify, debug and/or maintain software code according to functional, non-functional and technical design specifications.
You will follow Amdocs software engineering standards, applicable software development methodology and release processes, to ensure code is maintainable, scalable , supportable and demo the software products to stakeholders
You will investigate issues by reviewing/debugging code, provides fixes and workarounds, and reviews changes for operability to maintain existing software solutions.
You will work within a team, collaborate and add value through participation in peer code reviews, provide comments and suggestions, work with cross functional teams to achieve goals.
You will assume technical accountability for your specific work products within an application and provide technical support during solution design for new requirements.
You will be encourage to actively look for innovation and continuous improvement, efficiency in all assigned tasks.


All you need is...
UI Developer


Proficient in using UML & in application of design patterns.
Mandatory 



Extensive UI development experience with REACT, REDUX, ES6, JavaScript.
Understanding of HTML5/CSS3.


Nice to have



AEM, webpack, angular, angular 2




Why you will love this job:


You will be challenged with design and develop new software applications
You will have the opportunity to work in a growing organization, with ever growing opportunities for personal growth
You will have the opportunity to work with the industry most advanced technologies



Amdocs is an equal opportunity employer. We welcome applicants from all backgrounds and are committed to fostering a diverse and inclusive workforce",Pune,"₹ 6,64,103","Organizational,JavaScript,Acquisition,UI,Amdocs,Technology,UML,HTML5"
Honeywell,Software Engineer UI,"Innovate to solve the world's most important challengesSoftware Engineer - UI

We are looking for a creative, skilled UI Developer to design websites with functionality and aesthetics in mind. The UI Developer will work with Back-End Developers and Web Developers to ensure that the website is optimized for several devices and presented in an attractive way.

To be successful as a UI Developer you should have excellent knowledge of HTML, JavaScript, JQuery and CSS.

The projects include Digital Customer Experience and Commercial Excellence Solutions, including Web, eCommerce etc. The role has the following key responsibilities:

· Work with other developers to ensure that the website is functional and visually appealing.

· Liaise with the business to gauge their needs and expectations.

· Plan the layout of the website.

· Ensure that the website is optimized for various devices.

· Use analytics to test client enjoyment.

YOU MUST HAVE

· Bachelor's Degree in Computer Science, Software Engineering or related discipline

Minimum of 4 years IT experience Work experience in troubleshooting and resolving issues with Hybris Integration.

· Understanding of agile methodologies

· Hand on experience in below technology stack

o Java Script

o HTML

o JQuery

o Rest

o JSON

o CSS

o JavaScript and CSS minifier

o Cross site scripting

WE VALUE

Hands on experience/Knowledge of React JS OR Angular JS Excellent verbal and written communication skills, and ability to communicate across borders Communicate and collaborate with internal technical teams and external business teams Proven ability to work in a self-directed manner Able to set priorities and remain flexible in a changing environment

· Builds relationships with and gains the trust of business.Additional Information

JOB ID: HRD100978Category: EngineeringLocation: Devarabisanahalli Village, KR Varturhobli,,East Taluk - Phase I,Bangalore,KARNATAKA,560103,IndiaExempt

Early Career (ALL)",Bangalore,"₹ 6,85,649","JavaScript,Java,Integration,UI,Computer,JSON,HTML,Software,IT,CSS,Hybris"
Honeywell,Sr Advanced Software Engineer,"Testing web based

 desktop and cloud based applications (10+ Years).

Has knowledge on cloud

 application deployment (Development Environment, Production and QA

 environment).

Added advantage if

 source has web application and API test automation background.

Added advantage if

 resource has done testing of web application connecting to a hardware

 product.YOU MUST HAVE

Bachelors degree in Engineering or Computer Science

WE VALUE

Experience with [list SW environments or complilers] and/or [list HW tools and environments used]Experience with [product family] equipment or other [industry] products is a plusIndividuals who take the initiative to get things done, do things before being asked by others or forced to by eventsIndividuals that assemble facts from various areas, analyze data, and provide informed recommendationsEffectively using data to make intelligent decisionsMulti-tasking and has the ability to manage a variety of complex tasksExperience writing and presenting ___________ [fill in blank]Proven track record developing test [software and/or hardware]Some test engineering experience

Additional Information

JOB ID: HRD100967Category: EngineeringLocation: HW Camp II,Bldgs 9A&9B,Plot C2,RMZ Ecoworld,Varturhobli,Sarjapur Marathahalli Outer Ring Road,Bangalore,KARNATAKA,560103,IndiaExempt
",Bangalore,"₹ 6,85,649","Computer,QA,API"
